country,year,solar_electricity,Photovoltaics [TWh] Calculated resolutions,Photovoltaics [MW] Original resolutions,solar_waste,solar_electricity_s,waste_mass
Germany,1900,,,,,,
Germany,1901,,,,,,
Germany,1902,,,,,,
Germany,1903,,,,,,
Germany,1904,,,,,,
Germany,1905,,,,,,
Germany,1906,,,,,,
Germany,1907,,,,,,
Germany,1908,,,,,,
Germany,1909,,,,,,
Germany,1910,,,,,,
Germany,1911,,,,,,
Germany,1912,,,,,,
Germany,1913,,,,,,
Germany,1914,,,,,,
Germany,1915,,,,,,
Germany,1916,,,,,,
Germany,1917,,,,,,
Germany,1918,,,,,,
Germany,1919,,,,,,
Germany,1920,,,,,,
Germany,1921,,,,,,
Germany,1922,,,,,,
Germany,1923,,,,,,
Germany,1924,,,,,,
Germany,1925,,,,,,
Germany,1926,,,,,,
Germany,1927,,,,,,
Germany,1928,,,,,,
Germany,1929,,,,,,
Germany,1930,,,,,,
Germany,1931,,,,,,
Germany,1932,,,,,,
Germany,1933,,,,,,
Germany,1934,,,,,,
Germany,1935,,,,,,
Germany,1936,,,,,,
Germany,1937,,,,,,
Germany,1938,,,,,,
Germany,1939,,,,,,
Germany,1940,,,,,,
Germany,1941,,,,,,
Germany,1942,,,,,,
Germany,1943,,,,,,
Germany,1944,,,,,,
Germany,1945,,,,,,
Germany,1946,,,,,,
Germany,1947,,,,,,
Germany,1948,,,,,,
Germany,1949,,,,,,
Germany,1950,,,,,,
Germany,1951,,,,,,
Germany,1952,,,,,,
Germany,1953,,,,,,
Germany,1954,,,,,,
Germany,1955,,,,,,
Germany,1956,,,,,,
Germany,1957,,,,,,
Germany,1958,,,,,,
Germany,1959,,,,,,
Germany,1960,,,,,,
Germany,1961,,,,,,
Germany,1962,,,,,,
Germany,1963,,,,,,
Germany,1964,,,,,,
Germany,1965,,,,,,
Germany,1966,,,,,,
Germany,1967,,,,,,
Germany,1968,,,,,,
Germany,1969,,,,,,
Germany,1970,,,,,,
Germany,1971,,,,,,
Germany,1972,,,,,,
Germany,1973,,,,,,
Germany,1974,,,,,,
Germany,1975,,,,,,
Germany,1976,,,,,,
Germany,1977,,,,,,
Germany,1978,,,,,,
Germany,1979,,,,,,
Germany,1980,,,,,,
Germany,1981,,,,,,
Germany,1982,,,,,,
Germany,1983,,,,,,
Germany,1984,,,,,,
Germany,1985,,,,,,
Germany,1986,,,,,,
Germany,1987,,,,,,
Germany,1988,,,,,,
Germany,1989,,,,,,
Germany,1990,0.00,0.00,0.00,,,
Germany,1991,0.00,0.00,0.00,,,
Germany,1992,0.00,0.00,0.00,,,
Germany,1993,0.00,0.00,0.00,,,
Germany,1994,0.00,0.00,0.00,,,
Germany,1995,0.00,0.00,0.00,,,
Germany,1996,0.01,0.01,10.10,,,
Germany,1997,0.01,0.01,10.10,,,
Germany,1998,0.01,0.01,10.10,,,
Germany,1999,0.02,0.02,20.21,,,
Germany,2000,0.00,0.00,0.00,,,
Germany,2001,0.10,0.09,101.04,,,
Germany,2002,0.20,0.18,202.09,,,
Germany,2003,0.31,0.29,313.23,,,
Germany,2004,0.56,0.52,565.84,,,
Germany,2005,1.31,1.21,1323.66,,,
Germany,2006,2.27,2.10,2293.67,,,
Germany,2007,3.14,2.90,3172.75,,,
Germany,2008,4.51,4.16,4557.03,,,
Germany,2009,6.72,6.20,6790.08,,,
Germany,2010,11.96,11.04,12084.73,,,
Germany,2011,19.99,18.45,20198.47,,,
Germany,2012,26.74,24.68,27018.86,,,
Germany,2013,30.62,28.26,30939.33,,,
Germany,2014,35.45,32.72,35819.70,,,
Germany,2015,38.08,34.88,37271.00,,,
Germany,2016,37.56,34.54,38686.00,,,
Germany,2017,38.76,35.88,40834.00,,,
Germany,2018,44.32,41.23,42804.00,,,
Germany,2019,45.22,41.76,44036.00,,,
Germany,2020,49.50,45.82,47754.00,0.00,0.00,0.00
Germany,2021,49.34,46.61,50410.00,0.00,0.00,0.00
Germany,2022,60.79,55.67,57744.00,0.00,0.00,0.00
Germany,2023,61.56,55.72,63066.00,0.00,0.00,0.00
Germany,2024,67.15,61.97,76601.00,0.00,0.00,0.00
Germany,2025,71.86,66.32,72609.10,0.00,0.00,0.00
Germany,2026,76.57,70.67,77368.71,0.01,0.01,32.15
Germany,2027,81.28,75.02,82128.32,0.01,0.01,32.15
Germany,2028,85.99,79.36,86887.92,0.01,0.01,32.15
Germany,2029,90.70,83.71,91647.53,0.02,0.02,64.30
Germany,2030,95.41,88.06,96407.14,0.00,0.00,0.00
Germany,2031,100.12,92.40,101166.75,0.09,0.09,321.50
Germany,2032,104.83,96.75,105926.36,0.18,0.18,642.99
Germany,2033,109.54,101.10,110685.96,0.29,0.29,996.64
Germany,2034,114.25,105.45,115445.57,0.52,0.52,1800.38
Germany,2035,118.96,109.79,120205.18,1.21,1.21,4211.61
Germany,2036,123.68,114.14,124964.79,2.10,2.10,7297.98
Germany,2037,128.39,118.49,129724.40,2.90,2.90,10095.01
Germany,2038,133.10,122.84,134484.00,4.16,4.16,14499.52
Germany,2039,137.81,127.18,139243.61,6.20,6.20,21604.60
Germany,2040,142.52,131.53,144003.22,11.04,11.04,38451.05
Germany,2041,147.23,135.88,148762.83,18.45,18.45,64267.26
Germany,2042,151.50,139.82,153079.94,24.68,24.68,85968.32
Germany,2043,151.50,139.82,153079.94,28.26,28.26,98442.40
Germany,2044,151.50,139.82,153079.94,32.72,32.72,113970.71
Germany,2045,151.50,139.82,153079.94,34.88,34.88,121501.88
Germany,2046,151.50,139.82,153079.94,34.54,34.54,120315.81
Germany,2047,151.50,139.82,153079.94,35.88,35.88,124998.47
Germany,2048,151.50,139.82,153079.94,41.23,41.23,143638.91
Germany,2049,151.50,139.82,153079.94,41.76,41.76,145467.01
Germany,2050,151.50,139.82,153079.94,45.82,45.82,159621.05
Germany,2051,151.50,139.82,153079.94,46.61,46.61,162354.31
Germany,2052,151.50,139.82,153079.94,55.67,55.67,193915.40
Germany,2053,151.50,139.82,153079.94,55.72,55.72,194090.67
Germany,2054,151.50,139.82,153079.94,61.97,61.97,215882.77
Germany,2055,151.50,139.82,153079.94,66.32,66.32,231026.84
Germany,2056,151.50,139.82,153079.94,70.67,70.67,246170.90
Germany,2057,151.50,139.82,153079.94,75.02,75.02,261314.97
Germany,2058,151.50,139.82,153079.94,79.36,79.36,276459.04
Germany,2059,151.50,139.82,153079.94,83.71,83.71,291603.11
Germany,2060,151.50,139.82,153079.94,88.06,88.06,306747.18
Germany,2061,151.50,139.82,153079.94,92.40,92.40,321891.24
Germany,2062,151.50,139.82,153079.94,96.75,96.75,337035.31
Germany,2063,151.50,139.82,153079.94,101.10,101.10,352179.38
Germany,2064,151.50,139.82,153079.94,105.45,105.45,367323.45
Germany,2065,151.50,139.82,153079.94,109.79,109.79,382467.52
Germany,2066,151.50,139.82,153079.94,114.14,114.14,397611.58
Germany,2067,151.50,139.82,153079.94,118.49,118.49,412755.65
Germany,2068,151.50,139.82,153079.94,122.84,122.84,427899.72
Germany,2069,151.50,139.82,153079.94,127.18,127.18,443043.79
